Country,Country_Code,Time,Year,Frequency,Currency,Budget_Deficit_Surplus,Capital_Expenditure,Consumer_Price_Index_CPI,Defence_Expenditure,Education_Expenditure,Expenditure,Exports,Food_Inflation_,Food_Inflation_YoY,GDP_Growth_Rate,GDP_per_Capita,GDP_per_Capita_,Government_Debt,Health_Expenditure,Imports,Inflation_Rate,Inflation_Rate_,Interest_Rate,Labour_Force,Nominal_GDP,Population,Real_GDP,Revenue,Tax_Revenue,Unemployment_Rate,Value_Added_Tax_VAT
Algeria,DZA,2001-01-01,2001.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,4587607.0,,,,,,
Algeria,DZA,2001-01-01,2001.0,Yearly,USD,,,,,,,19.1,,,,,,,,-9.48,,,,,,,,,,,
Algeria,DZA,2001-04-01,2001.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1205163.4,,,,,,
Algeria,DZA,2001-07-01,2001.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1098948.5,,,,,,
Algeria,DZA,2001-10-01,2001.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1102609.3,,,,,,
Algeria,DZA,2002-01-01,2002.0,Monthly,USD,,,101.74,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-01-01,2002.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1174222.2,,,,,,
Algeria,DZA,2002-01-01,2002.0,Quarterly,USD,,,,,,,,,,2.5,,,,,,,,,,,,,,,,
Algeria,DZA,2002-01-01,2002.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,4901720.0,,,,,,
Algeria,DZA,2002-01-01,2002.0,Yearly,USD,,,,,,,18.7,,,5.4,,,,,-12.01,,,,,,,,,,,
Algeria,DZA,2002-02-01,2002.0,Monthly,USD,,,102.16,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-03-01,2002.0,Monthly,USD,,,101.94,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-04-01,2002.0,Monthly,USD,,,101.34,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-04-01,2002.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1250181.8,,,,,,
Algeria,DZA,2002-04-01,2002.0,Quarterly,USD,,,,,,,,,,5.9,,,,,,,,,,,,,,,,
Algeria,DZA,2002-05-01,2002.0,Monthly,USD,,,100.61,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-06-01,2002.0,Monthly,USD,,,99.94,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-07-01,2002.0,Monthly,USD,,,100.69,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-07-01,2002.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1191969.9,,,,,,
Algeria,DZA,2002-07-01,2002.0,Quarterly,USD,,,,,,,,,,5.4,,,,,,,,,,,,,,,,
Algeria,DZA,2002-08-01,2002.0,Monthly,USD,,,101.11,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-09-01,2002.0,Monthly,USD,,,101.42,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-10-01,2002.0,Monthly,USD,,,101.74,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-10-01,2002.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1285346.1,,,,,,
Algeria,DZA,2002-10-01,2002.0,Quarterly,USD,,,,,,,,,,7.8,,,,,,,,,,,,,,,,
Algeria,DZA,2002-11-01,2002.0,Monthly,USD,,,102.4,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2002-12-01,2002.0,Monthly,USD,,,102.1,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-01-01,2003.0,Monthly,USD,,,101.48,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-01-01,2003.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1404604.8,,,,,,
Algeria,DZA,2003-01-01,2003.0,Quarterly,USD,,,,,,,,,,5.8,,,,,,,,,,,,,,,,
Algeria,DZA,2003-01-01,2003.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,5687158.0,,,,,,
Algeria,DZA,2003-01-01,2003.0,Yearly,USD,,,,,,,24.5,,,6.5,,,,,-13.32,,,,,,,,,,,
Algeria,DZA,2003-02-01,2003.0,Monthly,USD,,,103.46,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-03-01,2003.0,Monthly,USD,,,103.01,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-04-01,2003.0,Monthly,USD,,,103.5,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-04-01,2003.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1416449.3,,,,,,
Algeria,DZA,2003-04-01,2003.0,Quarterly,USD,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
Algeria,DZA,2003-05-01,2003.0,Monthly,USD,,,104.49,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-06-01,2003.0,Monthly,USD,,,106.34,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-07-01,2003.0,Monthly,USD,,,106.52,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-07-01,2003.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1374258.0,,,,,,
Algeria,DZA,2003-07-01,2003.0,Quarterly,USD,,,,,,,,,,6.5,,,,,,,,,,,,,,,,
Algeria,DZA,2003-08-01,2003.0,Monthly,USD,,,107.57,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-09-01,2003.0,Monthly,USD,,,107.77,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-10-01,2003.0,Monthly,USD,,,108.54,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-10-01,2003.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1491845.9,,,,,,
Algeria,DZA,2003-10-01,2003.0,Quarterly,USD,,,,,,,,,,7.7,,,,,,,,,,,,,,,,
Algeria,DZA,2003-11-01,2003.0,Monthly,USD,,,108.6,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2003-12-01,2003.0,Monthly,USD,,,107.78,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2004-01-01,2004.0,Monthly,USD,,,108.96,,,,,4.55,,,,,,,,,4.9,,,,,,,,,
Algeria,DZA,2004-01-01,2004.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1582316.4,,,,,,
Algeria,DZA,2004-01-01,2004.0,Quarterly,USD,,,,,,,,,,7.4,,,,,,,,,,,,,,,,
Algeria,DZA,2004-01-01,2004.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,6623355.0,,,,,,
Algeria,DZA,2004-01-01,2004.0,Yearly,USD,,,,,,,32.2,,,4.5,,,,,-17.95,,,,,,,,,,,
Algeria,DZA,2004-02-01,2004.0,Monthly,USD,,,108.88,,,,,5.11,,,,,,,,,5.23,,,,,,,,,
Algeria,DZA,2004-03-01,2004.0,Monthly,USD,,,110.04,,,,,6.01,,,,,,,,,5.71,,,,,,,,,
Algeria,DZA,2004-04-01,2004.0,Monthly,USD,,,110.29,,,,,6.65,,,,,,,,,6.08,,,,,,,,,
Algeria,DZA,2004-04-01,2004.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1658469.5,,,,,,
Algeria,DZA,2004-04-01,2004.0,Quarterly,USD,,,,,,,,,,5.1,,,,,,,,,,,,,,,,
Algeria,DZA,2004-05-01,2004.0,Monthly,USD,,,109.74,,,,,6.78,,,,,,,,,6.18,,,,,,,,,
Algeria,DZA,2004-06-01,2004.0,Monthly,USD,,,109.21,,,,,6.36,,,,,,,,,5.86,,,,,,,,,
Algeria,DZA,2004-07-01,2004.0,Monthly,USD,,,109.36,,,,,6.2,,,,,,,,,5.59,,,,,,,,,
Algeria,DZA,2004-07-01,2004.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1694038.3,,,,,,
Algeria,DZA,2004-07-01,2004.0,Quarterly,USD,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Algeria,DZA,2004-08-01,2004.0,Monthly,USD,,,109.11,,,,,5.76,,,,,,,,,5.16,,,,,,,,,
Algeria,DZA,2004-09-01,2004.0,Monthly,USD,,,111.27,,,,,5.56,,,,,,,,,4.91,,,,,,,,,
Algeria,DZA,2004-10-01,2004.0,Monthly,USD,,,111.64,,,,,5.23,,,,,,,,,4.59,,,,,,,,,
Algeria,DZA,2004-10-01,2004.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1688530.7,,,,,,
Algeria,DZA,2004-10-01,2004.0,Quarterly,USD,,,,,,,,,,0.9,,,,,,,,,,,,,,,,
Algeria,DZA,2004-11-01,2004.0,Monthly,USD,,,110.78,,,,,4.78,,,,,,,,,4.25,,,,,,,,,
Algeria,DZA,2004-12-01,2004.0,Monthly,USD,,,110.14,,,,,4.47,,,,,,,,,3.97,,,,,,,,,
Algeria,DZA,2005-01-01,2005.0,Monthly,USD,,,111.8,,,,,4.06,,,,,,,,,3.58,,,,,,,,,
Algeria,DZA,2005-01-01,2005.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1869675.2,,,,,,
Algeria,DZA,2005-01-01,2005.0,Quarterly,USD,,,,,,,,,,4.4,,,,,,,,,,,,,,,,
Algeria,DZA,2005-01-01,2005.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,7843981.0,,,,,,
Algeria,DZA,2005-01-01,2005.0,Yearly,USD,,,,,,,46.3,,,5.4,,,,,-19.85,,,,,,,,,,,
Algeria,DZA,2005-02-01,2005.0,Monthly,USD,,,112.42,,,,,3.87,,,,,,,,,3.42,,,,,,,,,
Algeria,DZA,2005-03-01,2005.0,Monthly,USD,,,112.94,,,,,3.26,,,,,,,,,3.08,,,,,,,,,
Algeria,DZA,2005-04-01,2005.0,Monthly,USD,,,113.31,,,,,2.73,,,,,,,,,2.77,,,,,,,,,
Algeria,DZA,2005-04-01,2005.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1932148.9,,,,,,
Algeria,DZA,2005-04-01,2005.0,Quarterly,USD,,,,,,,,,,5.9,,,,,,,,,,,,,,,,
Algeria,DZA,2005-05-01,2005.0,Monthly,USD,,,111.77,,,,,2.22,,,,,,,,,2.52,,,,,,,,,
Algeria,DZA,2005-06-01,2005.0,Monthly,USD,,,111.42,,,,,1.97,,,,,,,,,2.46,,,,,,,,,
Algeria,DZA,2005-07-01,2005.0,Monthly,USD,,,110.67,,,,,1.42,,,,,,,,,2.34,,,,,,,,,
Algeria,DZA,2005-07-01,2005.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1956909.8,,,,,,
Algeria,DZA,2005-07-01,2005.0,Quarterly,USD,,,,,,,,,,3.9,,,,,,,,,,,,,,,,
Algeria,DZA,2005-08-01,2005.0,Monthly,USD,,,110.29,,,,,1.08,,,,,,,,,2.31,,,,,,,,,
Algeria,DZA,2005-09-01,2005.0,Monthly,USD,,,110.19,,,,,0.23,,,,,,,,,1.95,,,,,,,,,
Algeria,DZA,2005-10-01,2005.0,Monthly,USD,,,110.72,,,,,-0.53,,,,,,,,,1.64,,,,,,,,,
Algeria,DZA,2005-10-01,2005.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2085247.0,,,,,,
Algeria,DZA,2005-10-01,2005.0,Quarterly,USD,,,,,,,,,,7.3,,,,,,,,,,,,,,,,
Algeria,DZA,2005-11-01,2005.0,Monthly,USD,,,110.64,,,,,-0.91,,,,,,,,,1.46,,,,,,,,,
Algeria,DZA,2005-12-01,2005.0,Monthly,USD,,,111.49,,,,,-1.07,,,,,,,,,1.38,,,,,,,,,
Algeria,DZA,2006-01-01,2006.0,Monthly,USD,,,112.5,,,,,-1.45,,,,,,,,,1.22,,,,,,,,,
Algeria,DZA,2006-01-01,2006.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2157053.7,,,,,,
Algeria,DZA,2006-01-01,2006.0,Quarterly,USD,,,,,,,,,,1.8,,,,,,,,,,,,,,,,
Algeria,DZA,2006-01-01,2006.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,8941655.0,,,,,,
Algeria,DZA,2006-01-01,2006.0,Yearly,USD,,,,,,,54.7,,,2.9,,,,,-20.68,,,,,,,,,,,
Algeria,DZA,2006-02-01,2006.0,Monthly,USD,,,112.15,,,,,-1.83,,,,,,,,,0.93,,,,,,,,,
Algeria,DZA,2006-03-01,2006.0,Monthly,USD,,,113.26,,,,,-1.98,,,,,,,,,0.73,,,,,,,,,
Algeria,DZA,2006-04-01,2006.0,Monthly,USD,,,114.41,,,,,-2.01,,,,,,,,,0.58,,,,,,,,,
Algeria,DZA,2006-04-01,2006.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2305469.7,,,,,,
Algeria,DZA,2006-04-01,2006.0,Quarterly,USD,,,,,,,,,,2.8,,,,,,,,,,,,,,,,
Algeria,DZA,2006-05-01,2006.0,Monthly,USD,,,114.19,,,,,-1.64,,,,,,,,,0.61,,,,,,,,,
Algeria,DZA,2006-06-01,2006.0,Monthly,USD,,,113.73,,,,,-1.26,,,,,,,,,0.62,,,,,,,,,
Algeria,DZA,2006-07-01,2006.0,Monthly,USD,,,112.89,,,,,-0.62,,,,,,,,,0.69,,,,,,,,,
Algeria,DZA,2006-07-01,2006.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2248664.1,,,,,,
Algeria,DZA,2006-07-01,2006.0,Quarterly,USD,,,,,,,,,,3.2,,,,,,,,,,,,,,,,
Algeria,DZA,2006-08-01,2006.0,Monthly,USD,,,113.9,,,,,0.12,,,,,,,,,0.87,,,,,,,,,
Algeria,DZA,2006-09-01,2006.0,Monthly,USD,,,114.75,,,,,1.34,,,,,,,,,1.29,,,,,,,,,
Algeria,DZA,2006-10-01,2006.0,Monthly,USD,,,115.86,,,,,2.63,,,,,,,,,1.74,,,,,,,,,
Algeria,DZA,2006-10-01,2006.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2230467.5,,,,,,
Algeria,DZA,2006-10-01,2006.0,Quarterly,USD,,,,,,,,,,3.7,,,,,,,,,,,,,,,,
Algeria,DZA,2006-11-01,2006.0,Monthly,USD,,,115.17,,,,,3.56,,,,,,,,,2.09,,,,,,,,,
Algeria,DZA,2006-12-01,2006.0,Monthly,USD,,,115.77,,,,,4.22,,,,,,,,,2.31,,,,,,,,,
Algeria,DZA,2007-01-01,2007.0,Monthly,USD,,,115.17,,,,,4.65,,,,,,,,,2.46,,,,,,,,,
Algeria,DZA,2007-01-01,2007.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2298125.8,,,,,,
Algeria,DZA,2007-01-01,2007.0,Quarterly,USD,,,,,,,,,,4.4,,,,,,,,,,,,,,,,
Algeria,DZA,2007-01-01,2007.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,9872971.0,,,,,,
Algeria,DZA,2007-01-01,2007.0,Yearly,USD,,,,,,,60.6,,,3.1,,,,,-26.35,,,,,,,,,,,
Algeria,DZA,2007-02-01,2007.0,Monthly,USD,,,115.86,,,,,5.26,,,,,,,,,2.76,,,,,,,,,
Algeria,DZA,2007-03-01,2007.0,Monthly,USD,,,116.73,,,,,5.69,,,,,,,,,2.99,,,,,,,,,
Algeria,DZA,2007-04-01,2007.0,Monthly,USD,,,116.24,,,,,5.64,,,,,,,,,3.04,,,,,,,,,
Algeria,DZA,2007-04-01,2007.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2471283.7,,,,,,
Algeria,DZA,2007-04-01,2007.0,Quarterly,USD,,,,,,,,,,2.8,,,,,,,,,,,,,,,,
Algeria,DZA,2007-05-01,2007.0,Monthly,USD,,,115.71,,,,,5.31,,,,,,,,,2.97,,,,,,,,,
Algeria,DZA,2007-06-01,2007.0,Monthly,USD,,,117.46,,,,,5.38,,,,,,,,,3.07,,,,,,,,,
Algeria,DZA,2007-07-01,2007.0,Monthly,USD,,,118.31,,,,,5.77,,,,,,,,,3.3,,,,,,,,,
Algeria,DZA,2007-07-01,2007.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2452661.0,,,,,,
Algeria,DZA,2007-07-01,2007.0,Quarterly,USD,,,,,,,,,,3.9,,,,,,,,,,,,,,,,
Algeria,DZA,2007-08-01,2007.0,Monthly,USD,,,118.88,,,,,5.96,,,,,,,,,3.4,,,,,,,,,
Algeria,DZA,2007-09-01,2007.0,Monthly,USD,,,120.95,,,,,6.12,,,,,,,,,3.51,,,,,,,,,
Algeria,DZA,2007-10-01,2007.0,Monthly,USD,,,121.57,,,,,6.1,,,,,,,,,3.53,,,,,,,,,
Algeria,DZA,2007-10-01,2007.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2650900.5,,,,,,
Algeria,DZA,2007-10-01,2007.0,Quarterly,USD,,,,,,,,,,1.5,,,,,,,,,,,,,,,,
Algeria,DZA,2007-11-01,2007.0,Monthly,USD,,,120.72,,,,,6.22,,,,,,,,,3.6,,,,,,,,,
Algeria,DZA,2007-12-01,2007.0,Monthly,USD,,,121.33,,,,,6.36,,,,,,,,,3.68,,,,,,,,,
Algeria,DZA,2008-01-01,2008.0,Monthly,USD,,,120.39,,,,,6.74,,,,,,,,,3.86,,,,,,,,,
Algeria,DZA,2008-01-01,2008.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2810606.2,,,,,,
Algeria,DZA,2008-01-01,2008.0,Quarterly,USD,,,,,,,,,,2.5,,,,,,,,,,,,,,,,
Algeria,DZA,2008-01-01,2008.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,11649694.0,,,,,,
Algeria,DZA,2008-01-01,2008.0,Yearly,USD,,,,,,,78.6,,,2.5,,,,,-37.99,,,,,,,,,,,
Algeria,DZA,2008-02-01,2008.0,Monthly,USD,,,121.42,,,,,7.07,,,,,,,,,3.98,,,,,,,,,
Algeria,DZA,2008-03-01,2008.0,Monthly,USD,,,123.58,,,,,7.6,,,,,,,,,4.22,,,,,,,,,
Algeria,DZA,2008-04-01,2008.0,Monthly,USD,,,123.61,,,,,8.53,,,,,,,,,4.61,,,,,,,,,
Algeria,DZA,2008-04-01,2008.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,3117394.1,,,,,,
Algeria,DZA,2008-04-01,2008.0,Quarterly,USD,,,,,,,,,,2.2,,,,,,,,,,,,,,,,
Algeria,DZA,2008-05-01,2008.0,Monthly,USD,,,123.42,,,,,9.54,,,,,,,,,5.06,,,,,,,,,
Algeria,DZA,2008-06-01,2008.0,Monthly,USD,,,122.29,,,,,9.63,,,,,,,,,5.12,,,,,,,,,
Algeria,DZA,2008-07-01,2008.0,Monthly,USD,,,121.39,,,,,9.09,,,,,,,,,4.93,,,,,,,,,
Algeria,DZA,2008-07-01,2008.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,3073419.5,,,,,,
Algeria,DZA,2008-07-01,2008.0,Quarterly,USD,,,,,,,,,,3.1,,,,,,,,,,,,,,,,
Algeria,DZA,2008-08-01,2008.0,Monthly,USD,,,124.32,,,,,8.8,,,,,,,,,4.95,,,,,,,,,
Algeria,DZA,2008-09-01,2008.0,Monthly,USD,,,126.6,,,,,8.37,,,,,,,,,4.89,,,,,,,,,
Algeria,DZA,2008-10-01,2008.0,Monthly,USD,,,126.61,,,,,7.94,,,,,,,,,4.82,,,,,,,,,
Algeria,DZA,2008-10-01,2008.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2648274.2,,,,,,
Algeria,DZA,2008-10-01,2008.0,Quarterly,USD,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
Algeria,DZA,2008-11-01,2008.0,Monthly,USD,,,127.01,,,,,7.75,,,,,,,,,4.85,,,,,,,,,
Algeria,DZA,2008-12-01,2008.0,Monthly,USD,,,127.23,,,,,7.5,,,,,,,,,4.86,,,,,,,,,
Algeria,DZA,2009-01-01,2009.0,Monthly,USD,,,126.98,,,,,7.43,,,,,,,,,4.94,,,,,,,,,
Algeria,DZA,2009-01-01,2009.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2648036.3,,,,,,
Algeria,DZA,2009-01-01,2009.0,Quarterly,USD,,,,,,,,,,2.6,,,,,,,,,,,,,,,,
Algeria,DZA,2009-01-01,2009.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,10920163.0,,,,,,
Algeria,DZA,2009-01-01,2009.0,Yearly,USD,,,,,,,45.2,,,1.2,,,,,-37.4,,,,,,,,,,,
Algeria,DZA,2009-02-01,2009.0,Monthly,USD,,,128.91,,,,,7.38,,,,,,,,,5.05,,,,,,,,,
Algeria,DZA,2009-03-01,2009.0,Monthly,USD,,,130.5,,,,,7.11,,,,,,,,,5.03,,,,,,,,,
Algeria,DZA,2009-04-01,2009.0,Monthly,USD,,,130.81,,,,,6.8,,,,,,,,,5.0,,,,,,,,,
Algeria,DZA,2009-04-01,2009.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2716211.9,,,,,,
Algeria,DZA,2009-04-01,2009.0,Quarterly,USD,,,,,,,,,,0.9,,,,,,,,,,,,,,,,
Algeria,DZA,2009-05-01,2009.0,Monthly,USD,,,127.84,,,,,6.04,,,,,,,,,4.74,,,,,,,,,
Algeria,DZA,2009-06-01,2009.0,Monthly,USD,,,128.25,,,,,5.96,,,,,,,,,4.8,,,,,,,,,
Algeria,DZA,2009-07-01,2009.0,Monthly,USD,,,130.24,,,,,6.53,,,,,,,,,5.19,,,,,,,,,
Algeria,DZA,2009-07-01,2009.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2703206.0,,,,,,
Algeria,DZA,2009-07-01,2009.0,Quarterly,USD,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
Algeria,DZA,2009-08-01,2009.0,Monthly,USD,,,132.4,,,,,6.93,,,,,,,,,5.35,,,,,,,,,
Algeria,DZA,2009-09-01,2009.0,Monthly,USD,,,133.96,,,,,7.27,,,,,,,,,5.45,,,,,,,,,
Algeria,DZA,2009-10-01,2009.0,Monthly,USD,,,134.23,,,,,7.72,,,,,,,,,5.6,,,,,,,,,
Algeria,DZA,2009-10-01,2009.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,2852708.9,,,,,,
Algeria,DZA,2009-10-01,2009.0,Quarterly,USD,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Algeria,DZA,2009-11-01,2009.0,Monthly,USD,,,134.56,,,,,7.97,,,,,,,,,5.66,,,,,,,,,
Algeria,DZA,2009-12-01,2009.0,Monthly,USD,,,134.55,,,,,8.23,,,,,,,,,5.74,,,,,,,,,
Algeria,DZA,2010-01-01,2010.0,Monthly,USD,,,133.52,,,,,8.25,,,,,,,,,5.71,,,,,,,,,
Algeria,DZA,2010-01-01,2010.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,3190394.5,,,,,,
Algeria,DZA,2010-01-01,2010.0,Quarterly,USD,,,,,,,,,,3.2,,,,,,,,,,,,,,,,
Algeria,DZA,2010-01-01,2010.0,Yearly,DZD,,,,,,,,,,,,,,,,,,,,13224716.0,,,,,,
Algeria,DZA,2010-01-01,2010.0,Yearly,USD,,,,,,,57.1,,,4.8,,,,,-38.89,,,,,,,,,,,
Algeria,DZA,2010-02-01,2010.0,Monthly,USD,,,134.26,,,,,8.01,,,,,,,,,5.54,,,,,,,,,
Algeria,DZA,2010-03-01,2010.0,Monthly,USD,,,135.29,,,,,7.74,,,,,,,,,5.37,,,,,,,,,
Algeria,DZA,2010-04-01,2010.0,Monthly,USD,,,134.03,,,,,7.2,,,,,,,,,5.08,,,,,,,,,
Algeria,DZA,2010-04-01,2010.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,3312502.6,,,,,,
Algeria,DZA,2010-04-01,2010.0,Quarterly,USD,,,,,,,,,,5.6,,,,,,,,,,,,,,,,
Algeria,DZA,2010-05-01,2010.0,Monthly,USD,,,135.86,,,,,7.75,,,,,,,,,5.31,,,,,,,,,
